No,Sungai,Latitude,Longitude,BOD,COD,Suhu,PH,DO
1,Bedog,7.70325,110.3499167,2,9,31,7.3,7
2,Bedog,7.79852778,110.3273056,3,16,28,7.4,7
3,Bedog,7.84588889,110.3381944,2,15,29,7.8,8
4,Bedog,7.87791667,110.3153611,6,33,29,8,6
5,Bedog,7.90922222,110.2758333,6,34,29,8.3,7
6,Belik,7.78091667,110.3902778,8,25,28,8.3,8
7,Belik,7.82663889,110.3865833,2,8,31,7.1,5
8,Belik,7.87469444,110.3920278,3,10,30,7.3,4
9,Bulus,7.87258333,110.3659722,2,11,29,7.4,5
10,Bulus,7.9125,110.3667222,2,9,30,7.3,5
11,GadjahWong,7.64863889,110.3911111,0.47,4,26,8,7
12,GadjahWong,7.77697222,110.3575556,4,9,29,7.4,4
13,GadjahWong,7.78966667,110.3566944,1,3,28,6.7,6
14,GadjahWong,7.80836111,110.3537222,1,3,28,6.9,6
15,GadjahWong,7.84033333,110.3485556,1,3,28,7.1,6
16,GadjahWong,7.90897222,110.3484444,2,8,28,7,5
17,GadjahWong,7.97872222,110.3134167,1,3,28,7.4,8
18,Konteng,7.68033333,110.3385556,3,15,24,7.4,7
19,Konteng,7.77294444,110.314,1,7,24,7.2,7
20,Konteng,7.80416667,110.3044444,2,10,24,7.1,6
21,Konteng,7.84916667,110.2574444,3,11,24,7.9,7
22,Kuning,7.66819444,110.4306111,2,15,23,7.7,9
23,Kuning,7.70491667,110.4387778,0.28,3,24,6.8,4
24,Kuning,7.78355556,110.4393889,2,7,26,7.4,7
25,Kuning,7.82725,110.4367778,1,3,26,7.5,6
27,Oyo,7.89105556,110.5474444,2,16,31,8.5,8
28,Oyo,7.92491667,110.4911667,2,9,31,8.1,8
29,Oyo,7.95183333,110.3801389,2,14,29,7.8,8
30,TambakBayan,7.73416667,110.4092778,1,7,28,7.5,6
31,TambakBayan,7.78341667,110.4191111,1,3,29,7.4,4
32,TambakBayan,7.82161111,110.4228611,3,21,29,7.5,7
33,TambakBayan,7.85161111,110.4297222,2,9,29,7.5,6
34,Winongo,7.62433333,110.4138056,1,3,24,7.7,8
35,Winongo,7.72252778,110.3891944,4,29,27,7.6,7
36,Winongo,7.78966667,110.3688611,1,3,28,7.8,8
37,Winongo,7.80163889,110.3713611,2,5,30,7.8,8
38,Winongo,7.80613889,110.3744167,1,3,29,7.4,6
39,Winongo,7.81563889,110.3748056,1,3,29,7.2,7
40,Winongo,7.85161111,110.3753889,1,3,30,7,5
41,Winongo,7.87263889,110.3834167,1,3,30,7.4,5
42,Opak,7.72291667,110.4828056,2,14,28,7.5,9
43,Opak,7.83252778,110.4519167,3,25,28,7.1,7
